UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 14:22 ?        00:00:01 /sbin/init splash
root           2       0  0 14:22 ?        00:00:00 [kthreadd]
root           3       2  0 14:22 ?        00:00:00 [rcu_gp]
root           4       2  0 14:22 ?        00:00:00 [rcu_par_gp]
root           5       2  0 14:22 ?        00:00:00 [slub_flushwq]
root           6       2  0 14:22 ?        00:00:00 [netns]
root          10       2  0 14:22 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 14:22 ?        00:00:00 [rcu_tasks_rude_kthread]
root          12       2  0 14:22 ?        00:00:00 [rcu_tasks_trace_kthread]
root          13       2  0 14:22 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 14:22 ?        00:00:01 [rcu_sched]
root          15       2  0 14:22 ?        00:00:00 [migration/0]
root          17       2  0 14:22 ?        00:00:00 [cpuhp/0]
root          18       2  0 14:22 ?        00:00:00 [cpuhp/1]
root          19       2  0 14:22 ?        00:00:00 [migration/1]
root          20       2  0 14:22 ?        00:00:00 [ksoftirqd/1]
root          22       2  0 14:22 ?        00:00:00 [kworker/1:0H-events_highpri]
root          23       2  0 14:22 ?        00:00:00 [cpuhp/2]
root          24       2  0 14:22 ?        00:00:00 [migration/2]
root          25       2  0 14:22 ?        00:00:00 [ksoftirqd/2]
root          27       2  0 14:22 ?        00:00:00 [kworker/2:0H-events_highpri]
root          28       2  0 14:22 ?        00:00:00 [cpuhp/3]
root          29       2  0 14:22 ?        00:00:00 [migration/3]
root          30       2  0 14:22 ?        00:00:00 [ksoftirqd/3]
root          32       2  0 14:22 ?        00:00:00 [kworker/3:0H-events_highpri]
root          34       2  0 14:22 ?        00:00:00 [kdevtmpfs]
root          35       2  0 14:22 ?        00:00:00 [inet_frag_wq]
root          36       2  0 14:22 ?        00:00:00 [kauditd]
root          37       2  0 14:22 ?        00:00:00 [khungtaskd]
root          39       2  0 14:22 ?        00:00:00 [oom_reaper]
root          40       2  0 14:22 ?        00:00:00 [writeback]
root          41       2  0 14:22 ?        00:00:00 [kcompactd0]
root          42       2  0 14:22 ?        00:00:00 [ksmd]
root          43       2  0 14:22 ?        00:00:00 [khugepaged]
root          44       2  0 14:22 ?        00:00:00 [kintegrityd]
root          45       2  0 14:22 ?        00:00:00 [kblockd]
root          46       2  0 14:22 ?        00:00:00 [blkcg_punt_bio]
root          47       2  0 14:22 ?        00:00:00 [tpm_dev_wq]
root          48       2  0 14:22 ?        00:00:00 [edac-poller]
root          49       2  0 14:22 ?        00:00:00 [devfreq_wq]
root          50       2  0 14:22 ?        00:00:00 [watchdogd]
root          51       2  0 14:22 ?        00:00:00 [kworker/0:1H-kblockd]
root          52       2  0 14:22 ?        00:00:00 [kswapd0]
root          60       2  0 14:22 ?        00:00:00 [kthrotld]
root          62       2  0 14:22 ?        00:00:00 [irq/15-pciehp]
root          63       2  0 14:22 ?        00:00:00 [irq/16-pciehp]
root          64       2  0 14:22 ?        00:00:00 [irq/17-pciehp]
root          65       2  0 14:22 ?        00:00:00 [irq/18-pciehp]
root          66       2  0 14:22 ?        00:00:00 [irq/19-pciehp]
root          67       2  0 14:22 ?        00:00:00 [irq/20-pciehp]
root          68       2  0 14:22 ?        00:00:00 [irq/21-pciehp]
root          69       2  0 14:22 ?        00:00:00 [irq/22-pciehp]
root          70       2  0 14:22 ?        00:00:00 [irq/23-pciehp]
root          71       2  0 14:22 ?        00:00:00 [irq/24-pciehp]
root          72       2  0 14:22 ?        00:00:00 [irq/25-pciehp]
root          73       2  0 14:22 ?        00:00:00 [irq/26-pciehp]
root          74       2  0 14:22 ?        00:00:00 [irq/27-pciehp]
root          75       2  0 14:22 ?        00:00:00 [irq/28-pciehp]
root          76       2  0 14:22 ?        00:00:00 [irq/29-pciehp]
root          77       2  0 14:22 ?        00:00:00 [irq/30-pciehp]
root          78       2  0 14:22 ?        00:00:00 [irq/31-pciehp]
root          79       2  0 14:22 ?        00:00:00 [irq/32-pciehp]
root          80       2  0 14:22 ?        00:00:00 [irq/33-pciehp]
root          81       2  0 14:22 ?        00:00:00 [irq/34-pciehp]
root          82       2  0 14:22 ?        00:00:00 [irq/35-pciehp]
root          83       2  0 14:22 ?        00:00:00 [irq/36-pciehp]
root          84       2  0 14:22 ?        00:00:00 [irq/37-pciehp]
root          85       2  0 14:22 ?        00:00:00 [irq/38-pciehp]
root          86       2  0 14:22 ?        00:00:00 [irq/39-pciehp]
